"Customer_ID";"Order_ID";"Order_Date";"Customer_First_Name";"Customer_Second_Name";"Region";"Product_Name";"Quantity_Purchased";"Cost_Per_Item";"Total_Sales"
1;101;"1/1/2019";"Syed";"Abid";"APAC";"Soap";10;" $100.00 ";" $1,000.00 "
2;102;"1/2/2019";"Bishan";"Singh";"APAC";"Shampoo";20;" $50.00 ";" $1,000.00 "
3;103;"1/3/2019";"Farokh";"Engineerdagger";"APAC";"Powder";30;" $10.00 ";" $300.00 "
4;104;"1/4/2019";"Sunil";"Gavaskardouble-dagger";"APAC";"Washing Liquid";40;" $20.00 ";" $800.00 "
5;105;"1/5/2019";"Madan";"Lal";"APAC";"Detergent";50;" $31.43 ";" $1,571.43 "
6;106;"1/6/2019";"Sudhir";"Naik";"APAC";"Diapers";60;" $42.86 ";" $2,571.43 "
7;107;"1/7/2019";"Brijesh";"Patel";"APAC";"Comb";70;" $54.29 ";" $3,800.00 "
8;108;"1/8/2019";"Eknath";"Solkar";"APAC";"Utensils";80;" $65.71 ";" $5,257.14 "
9;109;"1/9/2019";"Srinivasaraghavan";"Venkataraghavandouble-dagger";"APAC";"Vegetables";90;" $77.14 ";" $6,942.86 "
10;110;"1/10/2019";"Gundappa";"Viswanathdouble-dagger";"APAC";"Fruits";100;" $88.57 ";" $8,857.14 "
11;111;"1/11/2019";"Ajit";"Wadekardouble-dagger";"APAC";"Soap";110;" $100.00 ";" $11,000.00 "
12;112;"1/12/2019";"Gopal";"Bose";"APAC";"Shampoo";120;" $104.12 ";" $12,494.12 "
13;113;"1/13/2019";"Ashok";"Mankad";"APAC";"Powder";130;" $108.24 ";" $14,070.59 "
14;114;"1/14/2019";"Mohinder";"Amarnathdouble-dagger";"APAC";"Washing Liquid";10;" $112.35 ";" $1,123.53 "
15;115;"1/15/2019";"Anshuman";"Gaekwad";"APAC";"Detergent";20;" $116.47 ";" $2,329.41 "
16;116;"1/16/2019";"Karsan";"Ghavri";"APAC";"Diapers";30;" $120.59 ";" $3,617.65 "
17;117;"1/17/2019";"Syed";"Kirmanidouble-daggerdagger";"APAC";"Comb";40;" $124.71 ";" $4,988.24 "
18;118;"1/18/2019";"Parthasarathy";"Sharma";"APAC";"Utensils";50;" $128.82 ";" $6,441.18 "
