"Customer_ID";"Order_ID";"Order_Date";"Customer_First_Name";"Customer_Second_Name";"Region";"Product_Name";"Quantity_Purchased";"Cost_Per_Item";"Total_Sales"
668;768;"3/9/2019";"Aaron";"Peirsol";"AMERICAS";"Utensils";35;" $334.71 ";" $11,714.71 "
657;757;"2/26/2019";"Ágnes";"Keleti";"AMERICAS";"Comb";55;" $289.41 ";" $15,917.65 "
898;998;"10/25/2019";"Ágnes";"Keleti";"AMERICAS";"Utensils";125;" $1,281.76 ";" $160,220.59 "
641;741;"2/10/2019";"Ahn";"Hyun-Soo";"AMERICAS";"Soap";25;" $223.53 ";" $5,588.24 "
882;982;"10/9/2019";"Ahn";"Hyun-Soo";"AMERICAS";"Shampoo";95;" $1,215.88 ";" $115,508.82 "
634;734;"2/3/2019";"Akinori";"Nakayama";"AMERICAS";"Washing Liquid";85;" $194.71 ";" $16,550.00 "
875;975;"10/2/2019";"Akinori";"Nakayama";"AMERICAS";"Detergent";25;" $1,187.06 ";" $29,676.47 "
825;925;"8/13/2019";"Al";"Oerter";"AMERICAS";"Detergent";45;" $981.18 ";" $44,152.94 "
624;724;"1/24/2019";"Aladár";"Gerevich";"AMERICAS";"Washing Liquid";115;" $153.53 ";" $17,655.88 "
865;965;"9/22/2019";"Aladár";"Gerevich";"AMERICAS";"Detergent";55;" $1,145.88 ";" $63,023.53 "
708;808;"4/18/2019";"Alexander";"Popov";"AMERICAS";"Utensils";45;" $499.41 ";" $22,473.53 "
781;881;"6/30/2019";"Alexander";"Tikhonov";"AMERICAS";"Soap";125;" $800.00 ";" $100,000.00 "
721;821;"5/1/2019";"Alexei";"Nemov";"AMERICAS";"Soap";45;" $552.94 ";" $24,882.35 "
694;794;"4/4/2019";"Alfred";"Lane";"AMERICAS";"Washing Liquid";35;" $441.76 ";" $15,461.76 "
713;813;"4/23/2019";"Allison";"Schmitt";"AMERICAS";"Powder";95;" $520.00 ";" $49,400.00 "
621;721;"1/21/2019";"Allyson";"Felix";"AMERICAS";"Soap";85;" $141.18 ";" $12,000.00 "
862;962;"9/19/2019";"Allyson";"Felix";"AMERICAS";"Shampoo";25;" $1,133.53 ";" $28,338.24 "
818;918;"8/6/2019";"Alvin";"Kraenzlein";"AMERICAS";"Utensils";105;" $952.35 ";" $99,997.06 "
652;752;"2/21/2019";"Amy";"Van";"AMERICAS";"Shampoo";135;" $268.82 ";" $36,291.18 "
893;993;"10/20/2019";"Amy";"Van";"AMERICAS";"Powder";75;" $1,261.18 ";" $94,588.24 "
700;800;"4/10/2019";"Anastasia";"Davydova";"AMERICAS";"Fruits";95;" $466.47 ";" $44,314.71 "
810;910;"7/29/2019";"Anastasia";"Ermakova";"AMERICAS";"Fruits";25;" $919.41 ";" $22,985.29 "
773;873;"6/22/2019";"André";"Lange";"AMERICAS";"Powder";45;" $767.06 ";" $34,517.65 "
684;784;"3/25/2019";"Anton";"Heida";"AMERICAS";"Washing Liquid";65;" $400.59 ";" $26,038.24 "
840;940;"8/28/2019";"Bärbel";"Wöckel";"AMERICAS";"Fruits";65;" $1,042.94 ";" $67,791.18 "
761;861;"6/10/2019";"Ben";"Ainslie";"AMERICAS";"Soap";55;" $717.65 ";" $39,470.59 "
805;905;"7/24/2019";"Betty";"Cuthbert";"AMERICAS";"Detergent";105;" $898.82 ";" $94,376.47 "
609;709;"1/9/2019";"Birgit";"Fischer";"AMERICAS";"Vegetables";95;" $77.14 ";" $7,328.57 "
850;950;"9/7/2019";"Birgit";"Fischer";"AMERICAS";"Fruits";35;" $1,084.12 ";" $37,944.12 "
608;708;"1/8/2019";"Bjørn";"Dæhlie";"AMERICAS";"Utensils";85;" $65.71 ";" $5,585.71 "
849;949;"9/6/2019";"Bjørn";"Dæhlie";"AMERICAS";"Vegetables";25;" $1,080.00 ";" $27,000.00 "
690;790;"3/31/2019";"Bonnie";"Blair";"AMERICAS";"Fruits";125;" $425.29 ";" $53,161.76 "
618;718;"1/18/2019";"Boris";"Shakhlin";"AMERICAS";"Utensils";55;" $128.82 ";" $7,085.29 "
859;959;"9/16/2019";"Boris";"Shakhlin";"AMERICAS";"Vegetables";125;" $1,121.18 ";" $140,147.06 "
671;771;"3/12/2019";"Bradley";"Wiggins";"AMERICAS";"Soap";65;" $347.06 ";" $22,558.82 "
625;725;"1/25/2019";"Caeleb";"Dressel";"AMERICAS";"Detergent";125;" $157.65 ";" $19,705.88 "
866;966;"9/23/2019";"Caeleb";"Dressel";"AMERICAS";"Diapers";65;" $1,150.00 ";" $74,750.00 "
605;705;"1/5/2019";"Carl";"Lewis";"AMERICAS";"Detergent";55;" $31.43 ";" $1,728.57 "
655;755;"2/24/2019";"Carl";"Osburn";"AMERICAS";"Detergent";35;" $281.18 ";" $9,841.18 "
833;933;"8/21/2019";"Carl";"Schuhmann";"AMERICAS";"Powder";125;" $1,014.12 ";" $126,764.71 "
846;946;"9/3/2019";"Carl";"Lewis";"AMERICAS";"Diapers";125;" $1,067.65 ";" $133,455.88 "
896;996;"10/23/2019";"Carl";"Osburn";"AMERICAS";"Diapers";105;" $1,273.53 ";" $133,720.59 "
828;928;"8/16/2019";"Carlo";"Pavesi";"AMERICAS";"Utensils";75;" $993.53 ";" $74,514.71 "
826;926;"8/14/2019";"Caroline";"Ouellette";"AMERICAS";"Diapers";55;" $985.29 ";" $54,191.18 "
741;841;"5/21/2019";"Cate";"Campbell";"AMERICAS";"Soap";115;" $635.29 ";" $73,058.82 "
744;844;"5/24/2019";"Charles";"Daniels";"AMERICAS";"Washing Liquid";15;" $647.65 ";" $9,714.71 "
749;849;"5/29/2019";"Charles";"Hamelin";"AMERICAS";"Vegetables";65;" $668.24 ";" $43,435.29 "
778;878;"6/27/2019";"Charles";"Pahud";"AMERICAS";"Utensils";95;" $787.65 ";" $74,826.47 "
699;799;"4/9/2019";"Chen";"Ruolin";"AMERICAS";"Vegetables";85;" $462.35 ";" $39,300.00 "
638;738;"2/7/2019";"Chris";"Hoy";"AMERICAS";"Utensils";125;" $211.18 ";" $26,397.06 "
